City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,chernyshevskiy,63.0128,112.4714,-17.7,86,100,1.55,RU,1708668716
240,stung treng,13.5259,105.9683,40.18,24,2,0.98,KH,1708668717
241,nuku'alofa,-21.1333,-175.2,26.51,83,85,9.88,TO,1708668717
242,nayoro,44.3506,142.4578,-6.56,76,89,1.23,JP,1708668718
243,pangkalpinang,-2.1333,106.1333,28.95,77,80,3.73,ID,1708668556
244,boundiali,9.5217,-6.4869,19.18,14,24,2.06,CI,1708668719
245,nagqu,31.5,92.0,-6.57,51,100,3.82,CN,1708668719
246,fale old settlement,-9.3852,-171.2468,29.49,75,91,4.75,TK,1708668719
247,praia da vitoria,38.7333,-27.0667,11.53,83,95,3.28,PT,1708668720
248,pico truncado,-46.7949,-67.9573,8.73,54,51,5.66,AR,1708668720
249,tucupita,9.0622,-62.051,20.48,97,1,1.48,VE,1708668721
250,vorkuta,67.5,64.0,-7.87,95,100,6.04,RU,1708668721
251,kushiro,42.975,144.3747,-5.26,51,73,2.39,JP,1708668722
252,lagos,6.5833,3.75,27.09,86,100,0.89,NG,1708668722
253,paciran,-6.8767,112.3761,30.23,70,99,4.4,ID,1708668723
254,cadale,2.7603,46.3222,29.0,70,100,10.78,SO,1708668723
255,thunder bay,48.4001,-89.3168,-9.24,71,95,5.86,CA,1708668454
256,yabelo,4.8833,38.0833,20.54,44,100,10.76,ET,1708668724
257,kyabe,9.4515,18.9449,26.83,18,89,5.15,TD,1708668725
258,mitu,1.1983,-70.1733,23.13,65,11,0.95,CO,1708668725
259,jacksonville,30.3322,-81.6556,13.36,64,0,5.14,US,1708668471
260,tateyama,34.9833,139.8667,5.05,98,100,8.4,JP,1708668726
261,lompoc,34.6391,-120.4579,11.07,78,61,0.45,US,1708668727
262,xining,36.6167,101.7667,-5.31,75,100,1.13,CN,1708668727
263,gurun,5.8172,100.4738,34.35,44,42,2.02,MY,1708668728
264,sambava,-14.2667,50.1667,28.09,75,76,2.15,MG,1708668728
265,hithadhoo,-0.6,73.0833,28.34,74,91,2.23,MV,1708668729
266,smithers,54.7804,-127.1743,-1.46,96,19,1.03,CA,1708668729
267,falaise,48.8922,-0.1953,5.51,86,75,6.9,FR,1708668730
268,la'ie,21.6477,-157.9253,22.98,76,61,4.02,US,1708668730
269,fortuna,40.5982,-124.1573,9.51,93,75,0.45,US,1708668731
270,asandh,29.5167,76.6,22.91,15,0,3.5,IN,1708668731
271,sajir,25.1825,44.5996,21.69,27,0,8.15,SA,1708668732
272,ust'-kut,56.7938,105.7672,-14.5,82,100,2.65,RU,1708668732
